parcel_id,apn,county_fips,lot_sqft,zoning_code,zoning_allows_surface_parking,is_corner_lot,distance_to_nearest_demand_m,score_identification,score_entitlement,score_strategic,centroid_lon,centroid_lat
ceed70db-1a10-447e-835b-1a9c649f9d25,033-9568800125,53033,7082.9524454959865,,false,false,19845.429235225503,,,,-122.2051633700292,47.76288590252175
a064a5f1-c0a4-4c70-abc3-e05014f0877b,033-9568800130,53033,6549.551660891415,,false,false,19852.2091653035,,,,-122.2049295535385,47.76286943038072
c52b89b5-748a-4f39-b5df-5c2f5718a62b,033-9568800135,53033,4053.203017394098,,false,false,19912.479938901004,,,,-122.20379727999693,47.763069615233505
774c0ba9-31ac-4c4b-b327-3822d82234e1,033-9568800136,53033,4053.860287567258,,false,false,19919.959222964655,,,,-122.20355502931459,47.76305652617246
ed7b9611-1040-4c9e-a69c-0fe25b24a28f,033-9568800140,53033,12207.31951795242,,false,false,19947.05663570139,,,,-122.20364186798939,47.76336711160177
9b764154-cb2f-40a3-ab0f-4183040f993f,033-9568800145,53033,11286.318945601686,,false,false,19898.801419779007,,,,-122.20527851571205,47.76347478569722
cdeedc6a-a08d-41c2-b00e-e06ed3206921,033-9568800150,53033,18191.081091766475,,false,false,19912.50554164013,,,,-122.20475808765035,47.763424453929574
faaa25f8-53e1-4641-889b-122a9ceef850,033-9568800151,53033,17833.7107549324,,false,false,19903.003771678697,,,,-122.2050423110668,47.76343136500906
4bbb0a74-dd0b-4db1-83d9-a2b321e32c5f,033-9568800155,53033,6563.732730722605,,false,false,19859.141083866776,25.0,,,-122.20470553222721,47.762857992846826
29f26b2f-16c2-4434-bb2b-983207e06546,033-9568800160,53033,16219.139143399698,,false,false,19911.86202155751,25.0,,,-122.20407334791568,47.76316550830806
754a6ad3-8244-47cc-991e-0a76813f0c4e,033-9568800165,53033,7217.422822065892,,false,false,19882.97755857927,,,,-122.20368074321122,47.762723199147665
aacfea7a-7d78-4fa7-ab3a-c0ddf6b7ede3,033-9571800005,53033,5530.787164303484,,false,false,5643.445833669214,,,,-122.3939421772082,47.57727988234167
c7ca51b8-af41-4564-8527-d6fa27de548d,033-9571800010,53033,5094.111597580006,,false,false,5632.418964089209,,,,-122.39375036440138,47.57726748656982
f615ae0d-7a76-425a-bcec-0c06901b19cb,033-9571800015,53033,5093.264698458711,,false,false,5621.261633553027,,,,-122.39356755383632,47.57726607381645
fc8ffc2c-3261-4c14-b893-89ab60d4d2e5,033-9571800020,53033,6224.592795183264,,false,false,5645.603778028496,,,,-122.3937340474439,47.57704482266054
caa095ef-0379-4872-b926-fe46512e7441,033-9571800025,53033,5765.052963324635,,false,false,5653.4783089090215,,,,-122.39371914998317,47.57690749094858
38421574-00e3-4b2f-b983-ad9b5177b041,033-9571800030,53033,5330.197762072737,,false,false,5661.456161769653,25.0,,,-122.3937052925294,47.57677001575854
555f85da-09d1-4b97-bc72-49704eaecbbf,033-9571800035,53033,5082.5539040963695,,false,false,5669.938267521408,25.0,,,-122.39369891034815,47.57663227131119
da911c19-2ae8-4db9-8566-146a2e5924d6,033-9571800040,53033,6752.442871459214,,false,false,5680.596237781419,,,,-122.3937038517971,47.57647202506282
e7d0c545-b600-4a82-ac52-76de775d8565,033-9571800045,53033,7691.035649210813,,false,false,5692.804964768256,,,,-122.39470643037998,47.57724540878681
30888438-2de9-4a42-a17e-4ee8e5a88b45,033-9571800046,53033,5589.413416703762,,false,false,5673.325218935828,25.0,,,-122.39445474069262,47.57730764280987
ba4dfc17-9500-4568-8cf1-549f2006d7d9,033-9571800047,53033,3940.3528704585974,,false,false,5683.5699487580605,0.0,,,-122.39443472698987,47.577125832801336
30c60652-a53e-4b85-b1ce-f92e905e5a9c,033-9571800060,53033,7235.322973082451,,false,false,5698.383059016732,25.0,,,-122.39453516880153,47.57698974806451
31b2a74d-7b01-45f8-8a90-57df900dce9c,033-9571800065,53033,7688.254888672137,,false,false,5706.177692693549,25.0,,,-122.39452002553409,47.57685236441107
5623ef66-bf8b-4048-97e0-cd0fee3e2b5c,033-9571800070,53033,12189.373939026398,,false,false,5716.273022090928,25.0,,,-122.39450617939382,47.57668067874074
9b8a5720-21df-4d55-8427-f1bb56697fcb,033-9571800075,53033,8530.048358958342,,false,false,5727.257865155167,,,,-122.39450435079307,47.576507323113596
4df8836a-caf5-402c-9e4f-0270f5e0f717,033-9572000010,53033,5030.6404074937855,,false,false,11991.056361418241,25.0,,,-122.32102199225288,47.498621342106084
84157efc-fcc5-4476-9b80-353048aef463,033-9572000020,53033,5031.209664114687,,false,false,11989.845221930333,,,,-122.32122413861605,47.49862286438813
7f01a832-1049-414a-ba2e-2ec5b2f5b554,033-9572000030,53033,4880.04962343101,,false,false,11988.24963382295,,,,-122.32142371826187,47.49862813979685
2fd39f20-3b01-4647-b038-cb2bb6da46cb,033-9572000040,53033,4341.505102214541,,false,false,11985.377151086077,0.0,,,-122.32162877277268,47.4986448474953
